"temperature_2m","windspeed_100m","sin_wd_100","Power"
26.2,9.2,-0.601815023152048,0.8918
26.2,9.17,-0.629320391049838,0.8847
26,9.22,-0.656059028990507,0.8777
25.6,9.33,-0.707106781186548,0.8706
25.3,9.27,-0.719339800338651,0.8636
25.1,9.27,-0.719339800338651,0.8565
24.1,9.48,-0.73135370161917,0.8495
24.2,9.27,-0.73135370161917,0.8424
23.8,9.27,-0.73135370161917,0.8308
24.4,8.37,-0.766044443118978,0.8147
24.4,8.57,-0.743144825477395,0.7986
24.4,8.08,-0.754709580222772,0.7824
25.1,8.2,-0.788010753606722,0.7663
25.1,8.58,-0.809016994374948,0.7502
24.9,8.86,-0.798635510047293,0.7341
25.2,8.32,-0.838670567945424,0.7287
25.3,8.34,-0.866025403784439,0.7342
24.8,8.1,-0.913545457642601,0.7396
24.1,8.25,-0.92050485345244,0.7451
23.7,8.42,-0.913545457642601,0.7506
22.9,8.38,-0.92050485345244,0.756
22.6,7.33,-0.981627183447664,0.7528
21.5,8.25,-0.970295726275997,0.741
20.1,8.7,-0.945518575599317,0.7292
19.9,8.06,-0.92050485345244,0.7173
20.2,7.3,-0.974370064785235,0.7055
20,6.77,-0.99026806874157,0.6937
19.7,6.55,-0.978147600733806,0.6819
19.9,7.62,-0.866025403784439,0.67
19.6,7.73,-0.766044443118978,0.6582
18.7,7.36,-0.694658370458998,0.6464
15.5,7.38,-0.809016994374948,0.6345
13.5,7.3,-0.92050485345244,0.6441
13.4,7.64,-0.970295726275997,0.6752
12.5,8.43,-0.984807753012208,0.7062
12.8,8.91,-0.987688340595138,0.7372
15.5,8.99,-0.99026806874157,0.7683
18.9,7.99,-0.987688340595138,0.7993
22.5,8.16,-0.981627183447664,0.8304
25.6,8.26,-0.981627183447664,0.8471
27.8,9.1,-0.978147600733806,0.8494
28.8,9.47,-0.981627183447664,0.8518
29,9.3,-0.978147600733806,0.8542
28.6,9.68,-0.939692620785908,0.8566
27.4,8.7,-0.945518575599317,0.8589
27.4,8.49,-0.965925826289068,0.8618
27.4,8.83,-0.939692620785908,0.8653
26.2,8.94,-0.891006524188368,0.8687
24.3,9.13,-0.874619707139396,0.8721
23.3,9.49,-0.874619707139396,0.8755
23.3,10.08,-0.866025403784439,0.8789
23.2,10.61,-0.874619707139396,0.8824
23.5,10.98,-0.866025403784439,0.8858
24.3,11.18,-0.848048096156426,0.8892
24.4,10.96,-0.848048096156426,0.8926
24.9,11.57,-0.819152044288992,0.896
24.8,10.9,-0.788010753606722,0.886
24.6,10.58,-0.766044443118978,0.8626
26.5,10.26,-0.73135370161917,0.8392
27.8,9.83,-0.694658370458998,0.8158
28.9,9.12,-0.707106781186548,0.7924
30,9.77,-0.669130606358858,0.769
30.6,10.4,-0.573576436351046,0.7456
31,9.76,-0.615661475325658,0.7207
31.5,9.56,-0.669130606358858,0.6944
32.1,10.12,-0.73135370161917,0.668
31.9,8.13,-0.719339800338651,0.6417
31.6,7.73,-0.766044443118978,0.6154
31.4,7.84,-0.788010753606722,0.589
30.6,7.04,-0.777145961456971,0.5808
29.6,6.45,-0.754709580222772,0.5907
28.9,5.95,-0.754709580222772,0.6006
29.1,7.44,-0.809016994374948,0.6104
29.8,9.71,-0.754709580222772,0.6203
30.4,10.9,-0.73135370161917,0.6302
30.2,10.55,-0.669130606358858,0.6401
